trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.25, 'e': 0.23147521650098224}",25,3,-23.986249108379553,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.25, 'e': 0.22925900370053998}",30,20,16.033148217052446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.25, 'e': 0.22705774060326145}",25,10,13.68504667670715,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.25, 'e': 0.22487144668264347}",25,0,11.853136936883539,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.25, 'e': 0.22270013882530892}",25,13,19.082179740226355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.25, 'e': 0.22054383136175326}",30,0,-39.53443241173679,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
102,False,"{'a': 0.25, 'e': 0.2184025360976345}",25,4,24.06637543983924,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.25, 'e': 0.2162762623455733}",35,20,14.156715303022343,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.25, 'e': 0.2141650169574414}",25,18,14.461872805177485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.25, 'e': 0.2120688043571053}",25,15,-2.6035727557545325,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
106,False,"{'a': 0.25, 'e': 0.20998762657360248}",30,2,23.63265309069167,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.25, 'e': 0.2079214832747195}",30,18,11.922246903272642,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.25, 'e': 0.20587037180094725}",20,1,21.026553620938508,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.25, 'e': 0.2038342871997869}",20,10,11.291746715974385,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.25, 'e': 0.2018132222603788}",25,0,-15.56193688943069,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
111,False,"{'a': 0.25, 'e': 0.19980716754843064}",25,13,7.470393799473113,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.25, 'e': 0.1978161114414182}",20,3,2.5193926435002165,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.25, 'e': 0.1958400401640341}",20,9,6.457802230965734,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.25, 'e': 0.1938789378238598}",25,7,23.489440216986885,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
